No.,Time,Source,Destination,Protocol,Length,Info
13697,467.028182,fe80::f639:9ff:febf:b80,ff02::fb,MDNS,244,"Standard query response 0x0000 SRV, cache flush 0 0 631 NPIBF0B80.local A, cache flush 203.153.148.38 AAAA, cache flush fe80::f639:9ff:febf:b80 NSEC, cache flush NPIBF0B80.local NSEC, cache flush HP Color LaserJet MFP M281fdw (BF0B80)._ipps._tcp.local"
13698,467.030293,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,131,"Standard query 0x0000 SRV HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local, ""QM"" question"
13699,467.030885,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,131,"Standard query 0x0000 SRV HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local, ""QM"" question"
13700,467.030885,fe80::5a20:b1ff:fef3:5334,ff02::fb,MDNS,1034,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 HP5820B1F35334.local SRV, cache flush 0 0 8080 HP5820B1F35334.local A, cache flush 203.153.146.43 AAAA, cache flush fe80::5a20:b1ff:fef3:5334 NSEC, cache flush HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local NSEC, cache flush HP5820B1F35334.local NSEC, cache flush HP PageWide Pro 477dw MFP [F35334]._ipp._tcp.local NSEC, cache flush HP PageWide Pro 477dw MFP [F35334]._uscan._tcp.local"
13701,467.031688,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,131,"Standard query 0x0000 TXT HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local, ""QM"" question"
13702,467.032184,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,131,"Standard query 0x0000 TXT HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local, ""QM"" question"
13703,467.035087,fe80::decd:2fff:fe0d:2147,ff02::fb,MDNS,795,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 EPSON0D2147.local SRV, cache flush 0 0 631 EPSON0D2147.local SRV, cache flush 0 0 443 EPSON0D2147.local SRV, cache flush 0 0 443 EPSON0D2147.local A, cache flush 203.252.195.250 AAAA, cache flush fe80::decd:2fff:fe0d:2147 NSEC, cache flush EPSON L8160 Series._uscan._tcp.local NSEC, cache flush EPSON L8160 Series._ipp._tcp.local NSEC, cache flush EPSON L8160 Series._ipps._tcp.local NSEC, cache flush EPSON L8160 Series._uscans._tcp.local NSEC, cache flush EPSON0D2147.local"
13704,467.076114,fe80::4aba:4eff:fe39:b521,ff02::fb,MDNS,238,"Standard query response 0x0000 SRV, cache flush 0 0 631 npi39b521.local A, cache flush 192.168.153.225 AAAA, cache flush fe80::4aba:4eff:fe39:b521 NSEC, cache flush npi39b521.local NSEC, cache flush HP LaserJet MFP M227fdw (39B521)._ipps._tcp.local"
13705,467.078215,fe80::8669:93ff:fe8e:6b82,ff02::fb,MDNS,956,"Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 631 npi8e6b82.local A, cache flush 192.168.153.156 AAAA, cache flush fe80::8669:93ff:fe8e:6b82 NSEC, cache flush HP LaserJet Pro M501dn (8E6B82)._ipps._tcp.local NSEC, cache flush npi8e6b82.local NSEC, cache flush HP LaserJet Pro M501dn (8E6B82)._ipp._tcp.local"
13706,467.078215,fe80::cad9:d2ff:feb1:5c18,ff02::fb,MDNS,244,"Standard query response 0x0000 SRV, cache flush 0 0 631 NPIB15C18.local A, cache flush 203.153.147.54 AAAA, cache flush fe80::cad9:d2ff:feb1:5c18 NSEC, cache flush NPIB15C18.local NSEC, cache flush HP Color LaserJet MFP M281fdn (B15C18)._ipps._tcp.local"
